title,url,fb_engagement,published_date,category,source
"Lottery winner arrested for dumping $200,000 of manure on ex-boss’ lawn",https://worldnewsdailyreport.com/lottery-winner-arrested-for-dumping-200000-of-manure-on-ex-boss-lawn/,"2,383,021.00",2018-05-13,Crime,
Former first lady Barbara Bush dies at 92 - CNN,http://breaking-cnn.com/former-first-lady-barbara-bush-dies-92/,"2,290,000.00",2018-04-16,Politics,
Woman sues Samsung for $1.8M after cell phone gets stuck inside her vagina,https://worldnewsdailyreport.com/woman-sues-samsung-for-1-8m-after-cell-phone-gets-stuck-inside-her-vagina/,"1,304,430.00",2018-09-19,Medical,
BREAKING: Michael Jordan Resigns From The Board At Nike-Takes 'Air Jordans' With Him,https://trumpbetrayed.us/all/breaking-michael-jordan-resigns-from-the-board-at-nike-takes-air-jordans-with-him/,"911,336.00",2018-09-05,Business,
Donald Trump Ends School Shootings By Banning Schools,https://www.8shit.net/donald-trump-ends-school-shootings-banning-schools/,"830,116.00",2018-02-23,Politics,
Florida Man Arrested For Tranquilizing And Raping Alligators In Everglades,https://www.huzlers.com/florida-man-arrested-for-tranquilizing-and-raping-alligators-in-everglades/,"824,137.00",2018-07-16,Crime,
Two altar boys were arrested for putting weed in the censer-burner,https://thereisnews.com/two-altar-boys-was-arrested-for-putting-marijuana-in-the-censer-burner3333/,"797,628.00",2018-06-11,Crime,
North Korea Agrees To Open Its Doors To Christianity,https://yournewswire.com/north-korea-open-christianity/,"760,314.00",2018-05-03,Politics,
Man Eats Girlfriends Booty For The First Time Dies From E. Coli,https://www.huzlers.com/man-eats-girlfriends-booty-for-the-first-time-dies-from-e-coli/,"633,642.00",2018-10-05,Medical,
Muslim Figure: “We Must Have Pork-Free Menus Or We Will Leave U.S.” How Would You Respond This?,http://www.vtamedia.com/2018/04/05/muslim-figure/,"631,589.00",2018-04-05,Politics,
California: Pro-Choice activist proudly breaks world record by getting her 27th abortion,https://worldnewsdailyreport.com/california-pro-choice-activist-proudly-breaks-world-record-by-getting-her-27th-abortion/comment-page-20/,"573,244.00",2018-10-08,Politics,
Pedophilia Included As 'Sexual Orientation' On New LGBT Pride Flag,https://yournewswire.com/pedophilia-sexual-orientation-lgbt/,"472,135.00",2018-07-12,Politics,
Funeral Home Employee Cremated By Mistake While Taking A Nap,http://abcnews-us.com/2018/03/10/funeral-home-employee-cremated-by-mistake-while-taking-a-nap/,"448,400.00",2018-03-12,Crime,
Trump Set To Legalize Medical Marijuana In All 50 States,https://yournewswire.com/trump-legalize-medical-marijuana/,"440,882.00",2018-05-27,Politics,
BREAKING NEWS: Stevie Wonder arrested for watching kiddie porn,https://wittheshit.com/2018/05/02/breaking-news-stevie-wonder-arrested-for-watching-kiddie-porn/,"430,935.00",2018-05-01,Crime,
New mosquito species discovered that can get you pregnant with a single bite,https://thereisnews.com/new-mosquito-species-discovered-can-make-you-pregnant/,"406,727.00",2018-05-27,Medical,
Gives birth to a black child and blames the coffee her husband drinks,https://thereisnews.com/birth-black-child-blames-coffe/,"401,759.00",2018-04-11,Medical,
Dekalb man sued for sucking the uterus out of woman,http://www.breakingnews247.net/5b88abc3d3844/dekalb-man-sued-for-sucking-the-uterus-out-of-woman.html,"377,213.00",2018-08-30,Crime,
Carnival cruise ship Triumph overturns and sinks.,http://www.react365.com/5be1ba976a34b/carnival-cruise-ship-triumph-overturns-and-sinks.html,"357,367.00",2018-11-07,,
3 men contracted Aids from running a train on a sex doll,https://wittheshit.com/2018/01/18/3-men-contracted-aids-from-running-a-train-on-a-sex-doll/,"333,213.00",2018-01-17,Medical,
Obama Announces Bid To Become UN Secretary General,https://yournewswire.com/obama-un-secretary-general/,"323,446.00",2018-02-22,Politics,
Macomb County fears 'vigilante' serial killer after third pedophile murdered in 1 week,http://nbc9news.com/macomb-county-fears-vigilante-serial-killer-after-third-pedophile-murdered-in-1-week/,"308,177.00",2018-09-30,Crime,
